First Name,Last Name,Action,Flight ID,Origin Airport,Destination Airport,Ticket Type,Ticket Quantity
Gabriel,Sanders,Buy,322,MEX,CJS,Main Cabin,7
Sandy,Blackwell,Buy,29,JFK,ELP,Main Cabin,3
Jeffrey,Weiss,Buy,557,ORD,ELP,Main Cabin,2
Virginia,Phelps,Buy,307,ELP,LAS,Main Cabin,3
James,Mitchell,Buy,512,BOS,LAX,Business Class,4
Elizabeth,Reyes,Buy,1124,ELP,LHR,First Class,5
Jill,Henderson,Buy,755,BOS,ELP,Main Cabin,1
Elizabeth,Medina,Buy,952,MEX,CJS,First Class,3
Bryan,Wise,Buy,1332,ELP,YYZ,Main Cabin,2
Michelle,Griffin,Buy,982,CDG,ELP,Main Cabin,8
Geoff,Waller,Buy,109,ELP,ATL,First Class,6
Jorge,RodriguezOrtega,Buy,939,LAS,ELP,Business Class,4
Joseph,Robinson,Buy,685,ORL,LAX,First Class,2
Andre,Ramos,Buy,519,CUN,ELP,Main Cabin,2
Becky,Gray,Buy,115,ELP,JFK,Business Class,1
Mark,Rogers,Buy,463,ELP,ORD,Main Cabin,8
Nicole,Johnson,Buy,1265,DFW,ELP,First Class,4
Brett,Higgins,Buy,370,LAX,ELP,Business Class,4
Katherine,Mcdonald,Buy,487,ELP,LAS,Business Class,7
Andrew,Torres,Buy,76,YYZ,ELP,First Class,3
Jason,Skinner,Buy,130,LAS,ELP,Main Cabin,5
Ray,Huynh,Buy,1033,ELP,LHR,Main Cabin,1
Timothy,Johnson,Buy,1329,CUN,ELP,Business Class,2
Christopher,Sanford,Buy,353,CDG,ELP,First Class,1
John,Blair,Buy,261,CDG,ELP,Main Cabin,7
Matthew,Gonzalez,Buy,226,LHR,ELP,Business Class,2
Heather,Little,Buy,647,ORD,ELP,First Class,4
Andrea,Riley,Buy,468,ELP,ATL,First Class,8
Melissa,Holt,Buy,271,ELP,DFW,Business Class,5
Debra,Blackwell,Buy,248,ELP,CUN,Main Cabin,5
Monica,Craig,Buy,28,JFK,ELP,Business Class,1
Kevin,Larson,Buy,363,DFW,ELP,Business Class,3
Jason,Wolfe,Buy,709,ELP,CDG,Main Cabin,8
Ray,Huynh,Buy,415,ORL,LAX,Business Class,2
Michael,King,Buy,271,ELP,DFW,Main Cabin,5
Anthony,Sims,Buy,464,ELP,ORD,First Class,5
Kelly,Herring,Buy,651,ATL,ELP,First Class,2
Ricky,Gardner,Buy,849,LAS,ELP,Business Class,6
Simba,King,Buy,1128,CJS,MEX,First Class,6
Deborah,Scott,Buy,958,LAX,ORL,Business Class,8
Edward,Jackson,Buy,92,ELP,DFW,Main Cabin,7
Ryan,Wilkins,Buy,784,LAX,BOS,Main Cabin,4
Jermaine,Dean,Buy,448,HND,ELP,First Class,5
Bryan,Fields,Buy,1308,CJS,MEX,First Class,3
Kayla,Smith,Buy,720,ELP,DFW,Main Cabin,6
Stephanie,Mcdonald,Buy,134,ELP,LHR,Business Class,7
Mark,Stewart,Buy,123,BOS,ELP,First Class,2
Mary,Grant,Buy,677,LHR,ELP,Business Class,3
Patricia,Glenn,Buy,352,CDG,ELP,First Class,2
Sheri,Adams,Buy,966,ELP,CUN,Business Class,2
Kevin,Larson,Buy,648,ELP,ATL,Main Cabin,7
Doris,Moore,Buy,1289,JFK,ELP,First Class,4
Ana,Andrade,Buy,593,MEX,CJS,First Class,6
Donald,Duck,Buy,101,LAX,ELP,First Class,2
Melissa,Johnson,Buy,1133,MEX,CJS,First Class,3
Mark,Lozano,Buy,562,ATL,ELP,First Class,6
Gina,Swanson,Buy,54,ORL,LAX,First Class,6
Emilia,Rivas,Buy,506,ORL,LAX,Business Class,5
Christopher,Foster,Buy,72,ELP,YYZ,Business Class,4
Eric,Ramos,Buy,1014,ELP,JFK,Main Cabin,3
Jennifer,Schneider,Buy,805,ELP,HND,First Class,1
Joseph,Hanna,Buy,324,ORL,LAX,Business Class,5
Stephen,Villegas,Buy,215,BOS,ELP,First Class,7
Victoria,Moses,Buy,841,ELP,BOS,Main Cabin,4
Maria,Young,Buy,379,ELP,ATL,Main Cabin,4
Alexis,Black,Buy,687,LAX,ORL,Main Cabin,7
Sonam,Tshering,Buy,699,CUN,ELP,Business Class,5
Brian,Andrews,Buy,931,ELP,BOS,Business Class,2
Alicia,Moran,Buy,1057,ELP,CUN,Main Cabin,5
Darin,Porter,Buy,620,ELP,CDG,Main Cabin,7
Elizabeth,Castillo,Buy,42,ELP,LHR,Main Cabin,7
Maria,Young,Buy,634,DFW,ELP,First Class,1
Gaston,Disney,Buy,663,BOS,ELP,First Class,7
Amy,Bradley,Buy,1284,ELP,JFK,Business Class,1
Laura,Williams,Buy,1220,CJS,MEX,Business Class,4
Michelle,Sexton,Buy,531,CDG,ELP,First Class,4
Ann,Miller,Buy,637,ELP,LAX,Main Cabin,4
David,Cox,Buy,1349,HND,ELP,Business Class,2
David,Gardner,Buy,636,ELP,LAX,Main Cabin,4
Brian,Andrews,Buy,701,CUN,ELP,Main Cabin,8
Robin,Wilson,Buy,1015,ELP,JFK,Main Cabin,8
Roger,Casey,Buy,364,DFW,ELP,Business Class,4
Amy,Parsons,Buy,754,BOS,ELP,Business Class,1
Haley,Moss,Buy,591,MEX,CJS,First Class,4
Anthony,Brooks,Buy,541,ELP,DFW,Main Cabin,1
Jermaine,Dean,Buy,4,DFW,ELP,Business Class,5
Ian,Rybak,Buy,1228,LAX,ORL,First Class,2
Anna,Gutierrez,Buy,1133,MEX,CJS,Main Cabin,2
Heather,Cunningham,Buy,1230,BOS,LAX,Main Cabin,5
James,Nolan,Buy,1163,CDG,ELP,First Class,3
Christina,Carter,Buy,205,ELP,JFK,Business Class,3
Andrea,Riley,Buy,358,HND,ELP,Business Class,7
Bryan,Wise,Buy,525,YYZ,ELP,Main Cabin,4
Chris,Holden,Buy,284,ELP,ORD,Main Cabin,1
Nathan,Thompson,Buy,1106,ELP,JFK,Main Cabin,2
Adam,Maldonado,Buy,720,ELP,DFW,Business Class,4
Brandy,Wilkerson,Buy,38,ELP,LAS,Business Class,8
Crystal,Walker,Buy,416,ORL,LAX,Business Class,6
Katherine,Evans,Buy,1253,CDG,ELP,Business Class,6
Jennifer,Bailey,Buy,459,LAX,ELP,Main Cabin,6
Nicholas,Jackson,Buy,546,ELP,LAX,First Class,6
Megan,Noble,Buy,1267,ELP,LAX,Main Cabin,2
Derek,Irwin,Buy,806,ELP,HND,Main Cabin,3
Monica,Sullivan,Buy,718,HND,ELP,First Class,6
Sean,Hernandez,Buy,80,ELP,CDG,Main Cabin,6
William,Evans,Buy,1302,ELP,LHR,Main Cabin,8
Jennifer,Bailey,Buy,297,JFK,ELP,Main Cabin,4
Jerry,Hampton,Buy,762,ELP,LHR,Business Class,5
Jesse,Dunn,Buy,1191,ATL,ELP,Main Cabin,8
Michael,Santoyo,Buy,406,LHR,ELP,Main Cabin,2
Gregory,Sullivan,Buy,935,BOS,ELP,Business Class,6
Kenneth,Davis,Buy,843,BOS,ELP,Main Cabin,4
Margaret,Smith,Buy,1088,ELP,LAX,Main Cabin,6
Henry,Salazar,Buy,1105,ELP,JFK,First Class,4
Ana,Andrade,Buy,258,ELP,CDG,First Class,1
Tammy,Waters,Buy,1266,ELP,LAX,Main Cabin,6
Stephanie,Mcdonald,Buy,392,ELP,BOS,First Class,1
Brad,Patel,Buy,915,ORD,ELP,First Class,8
Christina,Carter,Buy,1337,YYZ,ELP,Business Class,3
Keith,Ortiz,Buy,1009,ELP,ATL,Business Class,5
Gary,Miller,Buy,148,LAX,ORL,First Class,6
Virginia,Phelps,Buy,784,LAX,BOS,Main Cabin,4
Dalton,Bryant,Buy,1148,ELP,CUN,First Class,7
Douglas,Rodriguez,Buy,633,DFW,ELP,Business Class,5
Enrique,Munoz,Buy,1279,ELP,ATL,Business Class,5
Dana,Miller,Buy,607,ELP,CUN,Main Cabin,6
Wendy,Campos,Buy,591,MEX,CJS,Main Cabin,8
Brandon,Neal,Buy,704,ELP,YYZ,Business Class,2
Bryan,Arriaga,Buy,385,ELP,JFK,Business Class,8
Emily,Jackson,Buy,51,MEX,CJS,Business Class,2
Dylan,Harris,Buy,411,MEX,CJS,First Class,3
Peggy,Murphy,Buy,454,DFW,ELP,Main Cabin,2
Stephen,Ellis,Buy,125,BOS,ELP,Main Cabin,6
Brenda,Douglas,Buy,1295,BOS,ELP,Business Class,1
Richard,Paul,Buy,1245,YYZ,ELP,First Class,4
David,Soto,Buy,49,CJS,MEX,Main Cabin,5
Chase,Miller,Buy,1107,JFK,ELP,First Class,3
Steven,Hartman,Buy,877,ELP,CUN,Business Class,6
Monica,Sullivan,Buy,350,ELP,CDG,Business Class,2
Molly,Cohen,Buy,401,LAS,ELP,Main Cabin,1
Michele,Stevens,Buy,267,HND,ELP,Business Class,3
Prince,Eric,Buy,1006,ORD,ELP,First Class,3
Hector,Whitney,Buy,553,ELP,ORD,Main Cabin,2
Lori,Hall,Buy,1192,ATL,ELP,Main Cabin,4
Catherine,Mann,Buy,429,CUN,ELP,Main Cabin,6
Lance,Dominguez,Buy,538,HND,ELP,Main Cabin,7
Stephanie,Mcdonald,Buy,1050,BOS,LAX,Main Cabin,3
Mark,Richards,Buy,478,JFK,ELP,Main Cabin,8
Deborah,Scott,Buy,728,ELP,LAX,Main Cabin,2
Enrique,Rico,Buy,12,ELP,ORD,Main Cabin,7
Brandy,Valenzuela,Buy,423,LAX,BOS,Business Class,8
Christina,Dodson,Buy,608,ELP,CUN,Business Class,4
Elizabeth,Medina,Buy,920,ELP,ATL,First Class,3
Thomas,King,Buy,1196,ELP,JFK,First Class,8
Elizabeth,Medina,Buy,388,JFK,ELP,Business Class,4
Elizabeth,Cruz,Buy,891,CDG,ELP,Business Class,4
Anita,Stein,Buy,23,ATL,ELP,Business Class,1
Andrew,Marshall,Buy,459,LAX,ELP,First Class,5
Jared,Perry,Buy,180,ELP,DFW,Business Class,4
Jose,Smith,Buy,608,ELP,CUN,First Class,4
Teresa,Taylor,Buy,768,CJS,MEX,Main Cabin,4
Victor,Anderson,Buy,926,ELP,JFK,First Class,4
Michelle,Ray,Buy,1118,ELP,LAS,Business Class,7
Dylan,Harris,Buy,924,ELP,JFK,Business Class,7
Michael,Nunez,Buy,289,ELP,ATL,First Class,3
Gabriel,Sanders,Buy,934,BOS,ELP,Main Cabin,6
Mariah,Black,Buy,446,ELP,HND,Business Class,1
Thomas,Clark,Buy,957,LAX,ORL,Main Cabin,1
Douglas,Bryant,Buy,100,LAX,ELP,Business Class,1
Michelle,Wood,Buy,1265,DFW,ELP,Business Class,5
Elizabeth,Jackson,Buy,761,LAS,ELP,Main Cabin,4
Heidi,Barker,Buy,838,JFK,ELP,Business Class,5
Krista,Blake,Buy,973,ELP,YYZ,First Class,5
Jasmin,Cuevas,Buy,817,ELP,LAX,Main Cabin,8
David,Brown,Buy,618,ELP,CDG,First Class,6
Donald,Duck,Buy,276,ELP,LAX,Main Cabin,6
Barbara,Lane,Buy,910,LAX,ELP,Business Class,8
Kimberly,Martinez,Buy,267,HND,ELP,Business Class,6
Robert,Davis,Buy,719,HND,ELP,Business Class,4
Andrea,Villagomez,Buy,68,ELP,CUN,Main Cabin,8
Tyler,Evans,Buy,948,CJS,MEX,Business Class,5
Nathan,Thompson,Buy,914,ELP,ORD,Main Cabin,6
Ryan,Sullivan,Buy,731,LAX,ELP,First Class,2
Dakota,Bender,Buy,468,ELP,ATL,First Class,2
Donald,Villanueva,Buy,572,ELP,BOS,Business Class,4
Diana,Rivera,Buy,726,ELP,LAX,First Class,1
Joshua,Meadows,Buy,886,YYZ,ELP,First Class,4
Dalton,Bryant,Buy,1147,ELP,CUN,First Class,1
Destiny,Ferguson,Buy,960,BOS,LAX,Business Class,1
Simba,King,Buy,393,BOS,ELP,Main Cabin,4
Jade,Crawford,Buy,960,BOS,LAX,First Class,4
Jacob,Contreras,Buy,705,YYZ,ELP,Main Cabin,2
Richard,Blackwell,Buy,531,CDG,ELP,First Class,3
Chelsea,Porter,Buy,1206,ELP,LAS,First Class,6
Ashley,Wilcox,Buy,1338,ELP,CDG,First Class,7
Paula,Wyatt,Buy,483,BOS,ELP,First Class,7
David,Summers,Buy,1024,BOS,ELP,Main Cabin,5
Nathan,Thompson,Buy,790,CUN,ELP,Main Cabin,1
Ryan,Peterson,Buy,103,ELP,ORD,Main Cabin,6
Brittney,Daniel,Buy,1178,ELP,LAX,Main Cabin,4
Elizabeth,Castillo,Buy,489,LAS,ELP,Main Cabin,3
Cesar,Jones,Buy,897,HND,ELP,Main Cabin,3
Kevin,Scott,Buy,315,LHR,ELP,Business Class,1
Jennifer,Schultz,Buy,1054,LAX,BOS,First Class,3
Alexander,Wilson,Buy,850,LAS,ELP,First Class,8
Rebecca,Nguyen,Buy,918,ELP,ATL,Business Class,2
Julia,Jones,Buy,1160,ELP,CDG,First Class,8
Theresa,Hardy,Buy,453,DFW,ELP,Business Class,7
Andrew,Atkins,Buy,1032,ELP,LHR,Main Cabin,2
Lisa,Gaines,Buy,754,BOS,ELP,First Class,4
Dana,Miller,Buy,643,ELP,ORD,Main Cabin,2
Sean,Smith,Buy,1156,YYZ,ELP,Main Cabin,6
Brian,RodilesDelgado,Buy,613,ELP,YYZ,Business Class,2
Matthew,Campbell,Buy,201,ATL,ELP,Main Cabin,1
Christopher,Sanford,Buy,1047,LAX,ORL,Business Class,1
Brett,Mathis,Buy,1252,CDG,ELP,Business Class,5
Kylie,King,Buy,1185,ORD,ELP,First Class,2
William,Wolf,Buy,940,LAS,ELP,Main Cabin,1
Thomas,King,Buy,289,ELP,ATL,Main Cabin,6
Marissa,Oconnell,Buy,1035,LHR,ELP,Business Class,3
Kimberly,Johnson,Buy,700,CUN,ELP,First Class,4
Vanessa,Carson,Buy,1003,ELP,ORD,Main Cabin,8
Brenda,Douglas,Buy,892,CDG,ELP,First Class,1
Christopher,Foster,Buy,382,ATL,ELP,Main Cabin,2
Anna,Davis,Buy,361,ELP,DFW,First Class,1
Alejandra,Morris,Buy,1288,JFK,ELP,Main Cabin,7
Jacob,Contreras,Buy,803,CDG,ELP,First Class,7
Chase,Miller,Buy,398,ELP,LAS,Main Cabin,5
Emma,Armstrong,Buy,457,ELP,LAX,First Class,6
Michelle,Maynard,Buy,496,LHR,ELP,Main Cabin,5
Joshua,Meadows,Buy,476,ELP,JFK,Main Cabin,6
Dorothy,Cox,Buy,591,MEX,CJS,Main Cabin,8
Anthony,Dalton,Buy,644,ELP,ORD,First Class,7
Jon,Lopez,Buy,767,LHR,ELP,Business Class,4
Cynthia,Ellis,Buy,1253,CDG,ELP,Main Cabin,3
Omar,Hoang,Buy,321,MEX,CJS,First Class,5
Barbara,Jones,Buy,1313,MEX,CJS,Main Cabin,3
Jacob,Williams,Buy,403,ELP,LHR,Business Class,8
Linda,Rodriguez,Buy,1109,JFK,ELP,Business Class,5
Michaela,Miranda,Buy,1171,ELP,DFW,Business Class,7
Kylie,Summers,Buy,1312,MEX,CJS,Main Cabin,1
Jessica,Anderson,Buy,1320,BOS,LAX,Main Cabin,8
Melissa,Mcdonald,Buy,594,ORL,LAX,Business Class,8
Cinderella,Disney,Buy,97,ELP,LAX,Main Cabin,3
Carlos,Irwin,Buy,800,ELP,CDG,Main Cabin,7
Nicole,Johnson,Buy,896,ELP,HND,First Class,6
Eric,Vazquez,Buy,740,ELP,ATL,Main Cabin,2
Sonam,Tshering,Buy,1043,MEX,CJS,Business Class,1
Derek,Macias,Buy,452,ELP,DFW,Main Cabin,7
Mitchell,Gross,Buy,1253,CDG,ELP,Main Cabin,1
Marissa,Wagner,Buy,370,LAX,ELP,Business Class,1
Shere,Khan,Buy,1154,ELP,YYZ,Business Class,5
Wendy,Montoya,Buy,403,ELP,LHR,Business Class,3
Emily,Chang,Buy,221,LAS,ELP,Business Class,4
Lisa,Miller,Buy,210,ELP,BOS,Main Cabin,5
Julie,Shaw,Buy,831,ATL,ELP,Business Class,5
Jeremy,Rocha,Buy,945,LHR,ELP,Main Cabin,6
Nicole,Johnson,Buy,1102,ATL,ELP,Business Class,6
Jennifer,Hernandez,Buy,1012,ATL,ELP,First Class,2
Alexis,Ford,Buy,539,HND,ELP,Main Cabin,7
Christopher,Raymond,Buy,253,ELP,YYZ,Main Cabin,3
Steven,Miller,Buy,58,LAX,ORL,Business Class,2
Amber,Brown,Buy,386,ELP,JFK,Main Cabin,7
Denise,Morales,Buy,1220,CJS,MEX,Main Cabin,4
James,Hammond,Buy,615,YYZ,ELP,Main Cabin,6
Jafar,Aladdin,Buy,394,BOS,ELP,Business Class,1
Darlene,Shaw,Buy,1172,ELP,DFW,Business Class,7
Rebecca,Nguyen,Buy,904,DFW,ELP,Business Class,4
Tiffany,Davis,Buy,904,DFW,ELP,Business Class,2
Travis,Burton,Buy,427,ELP,CUN,First Class,6
Chris,Holden,Buy,992,ELP,DFW,Main Cabin,1
John,White,Buy,311,LAS,ELP,Main Cabin,4
Paul,Fisher,Buy,241,BOS,LAX,First Class,4
Sharon,Castillo,Buy,141,MEX,CJS,First Class,1
Crystal,Walker,Buy,87,HND,ELP,Business Class,4
Jasmin,Cuevas,Buy,614,ELP,YYZ,Main Cabin,4
Christopher,Craig,Buy,51,MEX,CJS,Main Cabin,3
Richard,Paul,Buy,328,LAX,ORL,First Class,8
Doris,Mercado,Buy,1119,LAS,ELP,Business Class,1
Matthew,Gonzalez,Buy,750,ELP,BOS,Business Class,2
Kenneth,Davis,Buy,1119,LAS,ELP,Main Cabin,8
Paula,Wyatt,Buy,272,ELP,DFW,Main Cabin,1
Amanda,Johnson,Buy,284,ELP,ORD,First Class,1
Paula,Wyatt,Buy,372,ELP,ORD,Main Cabin,5
David,Wright,Buy,381,ATL,ELP,First Class,7
Mary,Chapman,Buy,64,LAX,BOS,First Class,7
James,Simpson,Buy,72,ELP,YYZ,First Class,8
Erin,Barton,Buy,1010,ELP,ATL,Business Class,2
Gary,Park,Buy,265,ELP,HND,First Class,3
Bryan,Fields,Buy,108,ELP,ATL,First Class,1
Kelly,Herring,Buy,1184,ELP,ORD,Main Cabin,4
James,Mitchell,Buy,730,LAX,ELP,Main Cabin,4
Carlos,Irwin,Buy,217,ELP,LAS,First Class,4
George,Ayala,Buy,1209,LAS,ELP,Business Class,3
Rodney,Mcneil,Buy,1263,DFW,ELP,Main Cabin,5
Enrique,Rico,Buy,494,ELP,LHR,First Class,4
Sharon,Castillo,Buy,788,ELP,CUN,First Class,3
Roberto,Gutierrez,Buy,513,LAX,BOS,Business Class,8
Julia,Jones,Buy,1123,ELP,LHR,Main Cabin,3
David,Summers,Buy,1306,LHR,ELP,Business Class,3
Joel,Arellano,Buy,693,LAX,BOS,Main Cabin,5
Cory,Byrd,Buy,160,CUN,ELP,Main Cabin,5
Kayla,Morgan,Buy,237,LAX,ORL,Main Cabin,8
Leroy,Walters,Buy,939,LAS,ELP,Business Class,6
Alyssa,Smith,Buy,1027,ELP,LAS,Business Class,5
Melissa,Holt,Buy,998,ELP,LAX,First Class,5
Kimberly,Richardson,Buy,1078,HND,ELP,Main Cabin,2
Anthony,Dalton,Buy,319,CJS,MEX,First Class,1
Travis,Burton,Buy,1121,LAS,ELP,First Class,1
Deborah,Hunt,Buy,922,ATL,ELP,First Class,2
Denise,Williams,Buy,27,JFK,ELP,First Class,3
Caroline,Torres,Buy,53,MEX,CJS,Business Class,2
Amber,Sellers,Buy,197,ORD,ELP,First Class,8
Robert,Davis,Buy,1199,JFK,ELP,Business Class,2
Mary,Lee,Buy,618,ELP,CDG,Business Class,8
Crystal,Johnson,Buy,1217,LHR,ELP,Business Class,6
Raymond,Woodward,Buy,100,LAX,ELP,Main Cabin,2
Eric,Vazquez,Buy,1239,CUN,ELP,Business Class,1
Dylan,Lopez,Buy,1212,ELP,LHR,Main Cabin,3
Michael,Williams,Buy,332,BOS,LAX,First Class,2
Marissa,Oconnell,Buy,346,YYZ,ELP,Business Class,3
Bryan,Hardy,Buy,1347,HND,ELP,First Class,2
Anthony,Byrd,Buy,953,MEX,CJS,Main Cabin,1
Alberto,Villegas,Buy,752,ELP,BOS,Main Cabin,2
Nicholas,Anderson,Buy,994,DFW,ELP,Business Class,3
Dennis,Cooper,Buy,660,ELP,BOS,Business Class,6
Alexandra,Cook,Buy,404,ELP,LHR,Main Cabin,8
Andrew,Campos,Buy,682,MEX,CJS,Business Class,4
Courtney,Olsen,Buy,532,CDG,ELP,Main Cabin,1
James,Anderson,Buy,380,ELP,ATL,Main Cabin,8
Brendan,Phillips,Buy,215,BOS,ELP,Business Class,7
Teresa,Stewart,Buy,328,LAX,ORL,Main Cabin,1
Shawn,Santos,Buy,227,LHR,ELP,Business Class,2
Joseph,Fritz,Buy,835,ELP,JFK,First Class,7
Michael,Sanchez,Buy,1219,CJS,MEX,First Class,5
Paul,Herman,Buy,506,ORL,LAX,Main Cabin,3
Enrique,Rico,Buy,803,CDG,ELP,Main Cabin,5
Holly,Schneider,Buy,1134,ORL,LAX,First Class,8
Alexander,Kelly,Buy,1220,CJS,MEX,First Class,1
Ethan,Holmes,Buy,147,LAX,ORL,Main Cabin,4
Francisco,Vazquez,Buy,185,DFW,ELP,Business Class,3
Misty,Horton,Buy,757,ELP,LAS,Main Cabin,2
John,Hansen,Buy,1294,BOS,ELP,First Class,7
Alondra,GonzalezAyala,Buy,101,LAX,ELP,Business Class,6
Kimberly,Johnson,Buy,1101,ATL,ELP,Main Cabin,2
Gabriel,Hansen,Buy,1032,ELP,LHR,Main Cabin,4
Janet,Hughes,Buy,688,LAX,ORL,First Class,7
Tonya,Elliott,Buy,441,CDG,ELP,Main Cabin,3
Janet,Hughes,Buy,875,LAX,BOS,Main Cabin,7
David,Summers,Buy,444,ELP,HND,Main Cabin,4
Crystal,Walker,Buy,1236,ELP,CUN,Business Class,4
David,Thomas,Buy,24,ELP,JFK,Business Class,4
Derek,Macias,Buy,512,BOS,LAX,Main Cabin,2
Barbara,Robertson,Buy,648,ELP,ATL,Business Class,6
Anita,Fletcher,Buy,374,ELP,ORD,Main Cabin,6
Jerry,Curtis,Buy,335,LAX,BOS,Main Cabin,3
Julie,Shaw,Buy,21,ATL,ELP,Business Class,4
Doris,Mercado,Buy,895,ELP,HND,Business Class,6
Brandon,CartwrightLi,Buy,411,MEX,CJS,Business Class,8
Woody,Disney,Buy,805,ELP,HND,First Class,6
Richard,Brown,Buy,897,HND,ELP,Business Class,2
Jerry,Lee,Buy,470,ELP,ATL,First Class,4
Jessica,Smith,Buy,1007,ORD,ELP,First Class,6
Crystal,Walker,Buy,1103,ATL,ELP,Business Class,5
Gabriel,Terrazas,Buy,232,MEX,CJS,Business Class,3
Theresa,Hardy,Buy,347,YYZ,ELP,Business Class,1
Mufassa,Disney,Buy,1164,ELP,HND,Main Cabin,8
Cinderella,Disney,Buy,300,ELP,BOS,Main Cabin,5
Jennifer,Schneider,Buy,72,ELP,YYZ,First Class,1
Alexis,Shea,Buy,695,LAX,BOS,Main Cabin,6
Richard,Brown,Buy,607,ELP,CUN,Business Class,4
Michael,Nunez,Buy,314,ELP,LHR,Main Cabin,7
Jessica,Smith,Buy,325,ORL,LAX,First Class,4
Jesse,Montgomery,Buy,314,ELP,LHR,First Class,2
Misty,Jimenez,Buy,1239,CUN,ELP,Business Class,4
Julia,Jones,Buy,822,ELP,ORD,Main Cabin,8
Joel,Arellano,Buy,157,ELP,CUN,Business Class,1
Hector,Whitney,Buy,11,LAX,ELP,Business Class,3
Julian,Gutierrez,Buy,1240,CUN,ELP,Main Cabin,5
Lauren,Neal,Buy,1157,YYZ,ELP,First Class,7
Anthony,Barber,Buy,478,JFK,ELP,Main Cabin,8
Sean,Hull,Buy,1161,CDG,ELP,First Class,3
Ian,Rybak,Buy,28,JFK,ELP,Main Cabin,3
Melissa,Evans,Buy,419,LAX,ORL,Main Cabin,3
Andrew,Campos,Buy,83,CDG,ELP,Business Class,6
Micheal,Sanders,Buy,115,ELP,JFK,Business Class,6
Michelle,Ray,Buy,1267,ELP,LAX,First Class,6
Jacob,Contreras,Buy,516,ELP,CUN,Main Cabin,1
James,Simmons,Buy,970,CUN,ELP,Business Class,8
Daniel,Foster,Buy,724,DFW,ELP,Business Class,2
Felicia,Carlson,Buy,1102,ATL,ELP,Business Class,6
Jerry,Lee,Buy,680,CJS,MEX,Business Class,4
Richard,Paul,Buy,571,ELP,BOS,Business Class,7
Donna,Allen,Buy,1128,CJS,MEX,Main Cabin,4
Santiago,Olivas,Buy,71,CUN,ELP,Main Cabin,5
Tracy,Fitzgerald,Buy,313,ELP,LHR,Main Cabin,7
Ian,Islas,Buy,1257,HND,ELP,First Class,5
Kevin,Swanson,Buy,7,ELP,LAX,Main Cabin,7
Linda,Miller,Buy,247,ELP,CUN,Business Class,3
Tonya,Elliott,Buy,41,LAS,ELP,First Class,2
Sara,West,Buy,7,ELP,LAX,Business Class,7
Bradley,Bell,Buy,36,ELP,LAS,Business Class,2
Jason,Skinner,Buy,424,LAX,BOS,First Class,3
Tanya,Turner,Buy,314,ELP,LHR,First Class,6
Sharon,Gillespie,Buy,743,ATL,ELP,Business Class,1
Scott,Bailey,Buy,1119,LAS,ELP,Main Cabin,5
Cassandra,Cook,Buy,816,ELP,LAX,Main Cabin,3
Shere,Khan,Buy,913,ELP,ORD,Business Class,2
Suzanne,Kennedy,Buy,98,ELP,LAX,Main Cabin,8
Stacy,Maldonado,Buy,271,ELP,DFW,Main Cabin,1
Andre,Ramos,Buy,402,ELP,LHR,First Class,5
Christopher,Johnson,Buy,698,ELP,CUN,First Class,2
Brittney,Daniel,Buy,1229,LAX,ORL,First Class,1
Paul,Herman,Buy,163,ELP,YYZ,Business Class,5
Sean,Hull,Buy,1089,LAX,ELP,Main Cabin,3
Rachel,Phillips,Buy,964,LAX,BOS,Main Cabin,8
Christopher,Davis,Buy,1074,ELP,HND,Main Cabin,6
Alexander,Kelly,Buy,38,ELP,LAS,Main Cabin,3
Joel,Welch,Buy,473,ATL,ELP,First Class,8
Paul,Herman,Buy,934,BOS,ELP,First Class,8
Rose,Burgess,Buy,257,YYZ,ELP,Business Class,8
Christopher,Wright,Buy,684,ORL,LAX,Business Class,4
Jennifer,Mills,Buy,856,LHR,ELP,Main Cabin,3
Daniel,Lucio,Buy,923,ATL,ELP,Business Class,2
Rachel,Roberson,Buy,1271,LAX,ELP,First Class,2
Bradley,Rodriguez,Buy,1217,LHR,ELP,Main Cabin,5
Rebecca,Brown,Buy,127,ELP,LAS,First Class,1
Angela,Walker,Buy,328,LAX,ORL,Business Class,6
Elizabeth,Cruz,Buy,984,ELP,HND,Main Cabin,3
Jody,Sanchez,Buy,484,BOS,ELP,First Class,2
Evil,Queen,Buy,240,BOS,LAX,First Class,5
Jasmin,Cuevas,Buy,586,LHR,ELP,First Class,4
Maria,Young,Buy,1101,ATL,ELP,Main Cabin,5
Sabrina,Nguyen,Buy,1065,YYZ,ELP,Main Cabin,3
Diana,Rivera,Buy,251,CUN,ELP,Business Class,1
Douglas,Hernandez,Buy,270,ELP,DFW,Main Cabin,8
Lawrence,Henry,Buy,806,ELP,HND,Business Class,2
Norman,Freeman,Buy,356,ELP,HND,Business Class,1
Bobby,Bennett,Buy,215,BOS,ELP,First Class,6
Christopher,Coleman,Buy,544,DFW,ELP,First Class,8
Kenneth,Boyd,Buy,615,YYZ,ELP,Main Cabin,8
Jennifer,Evans,Buy,443,CDG,ELP,First Class,4
Shane,Miller,Buy,431,CUN,ELP,Business Class,4
Kim,Contreras,Buy,61,BOS,LAX,Business Class,6
Patricia,Hughes,Buy,554,ELP,ORD,First Class,6
Hannah,Maldonado,Buy,1008,ELP,ATL,Business Class,1
Lisa,Spencer,Buy,753,BOS,ELP,Main Cabin,3
Garab,Dorji,Buy,215,BOS,ELP,Business Class,5
